channel,q2_min,q2_max,q2,w_min,w_max,w,F_2,F_2_err
pi+ n,0.25,0.35,0.3,1.385,1.395,1.39,0.0666054400143581,0.0051189465871978
pi+ n,0.25,0.35,0.3,1.395,1.405,1.4,0.0655627349026009,0.00588824104675845
pi+ n,0.25,0.35,0.3,1.405,1.415,1.41,0.0645200297908437,0.0066575355063191
pi+ n,0.25,0.35,0.3,1.415,1.425,1.42,0.06521137270826795,0.0074161668940524
pi+ n,0.25,0.35,0.3,1.425,1.435,1.43,0.0659027156256922,0.0081747982817857
pi+ n,0.25,0.35,0.3,1.435,1.445,1.44,0.0694997014441148,0.00882896042929755
pi+ n,0.25,0.35,0.3,1.445,1.455,1.45,0.0730966872625374,0.0094831225768094
pi+ n,0.25,0.35,0.3,1.455,1.465,1.46,0.07985882282119436,0.00869614802727495
pi+ n,0.25,0.35,0.3,1.465,1.475,1.47,0.0866209583798513,0.0079091734777405
pi+ n,0.25,0.35,0.3,1.475,1.485,1.48,0.09106520331486836,0.00712541995353755
pi+ n,0.25,0.35,0.3,1.485,1.495,1.49,0.09550944824988541,0.0063416664293346
pi+ n,0.25,0.35,0.3,1.495,1.505,1.5,0.09202258009591116,0.0074850912572525
pi+ n,0.25,0.35,0.3,1.505,1.515,1.51,0.0885357119419369,0.0086285160851704
pi+ n,0.25,0.35,0.3,1.515,1.525,1.52,0.08182783062933954,0.007252750447058649
pi+ n,0.25,0.35,0.3,1.525,1.535,1.53,0.0751199493167422,0.0058769848089469
pi+ n,0.25,0.35,0.3,1.535,1.545,1.54,0.06852962426053885,0.00627604964073855
pi+ n,0.25,0.35,0.3,1.545,1.555,1.55,0.0619392992043355,0.0066751144725302
pi+ n,0.25,0.35,0.3,1.555,1.565,1.56,0.055342252773907155,0.0066915768891368
pi+ n,0.25,0.35,0.3,1.565,1.575,1.57,0.0487452063434788,0.0067080393057434
pi+ n,0.35,0.45,0.4,1.115,1.125,1.12,0.024466506881809524,0.001689277169039352
pi+ n,0.35,0.45,0.4,1.125,1.135,1.13,0.0310203207055268,0.0018826362969592
pi+ n,0.35,0.45,0.4,1.135,1.145,1.14,0.03975278796754245,0.00288930411212135
pi+ n,0.35,0.45,0.4,1.145,1.155,1.15,0.0484852552295581,0.0038959719272835
pi+ n,0.35,0.45,0.4,1.155,1.165,1.16,0.05906735438004785,0.0046739643410278996
pi+ n,0.35,0.45,0.4,1.165,1.175,1.17,0.0696494535305376,0.0054519567547723
pi+ n,0.35,0.45,0.4,1.175,1.185,1.18,0.0881704590251817,0.00677848081083415
pi+ n,0.35,0.45,0.4,1.185,1.195,1.19,0.1066914645198258,0.008105004866896
pi+ n,0.35,0.45,0.4,1.195,1.205,1.2,0.12573045897745655,0.00809971667561815
pi+ n,0.35,0.45,0.4,1.205,1.215,1.21,0.1447694534350873,0.0080944284843403
pi+ n,0.35,0.45,0.4,1.215,1.225,1.22,0.1394158555158031,0.0080129645652931
pi+ n,0.35,0.45,0.4,1.225,1.235,1.23,0.1340622575965189,0.0079315006462459
pi+ n,0.35,0.45,0.4,1.235,1.245,1.24,0.1287086596772347,0.0078500367271987
pi+ n,0.35,0.45,0.4,1.245,1.255,1.25,0.1233550617579505,0.0077685728081515
pi+ n,0.35,0.45,0.4,1.255,1.265,1.26,0.1158401785272368,0.00757642314916095
pi+ n,0.35,0.45,0.4,1.265,1.275,1.27,0.1083252952965231,0.0073842734901704
pi+ n,0.35,0.45,0.4,1.275,1.285,1.28,0.1021345362335335,0.0077659301466977745
pi+ n,0.35,0.45,0.4,1.285,1.295,1.29,0.09594377717054389,0.00814758680322515
pi+ n,0.35,0.45,0.4,1.295,1.305,1.3,0.08975301810755429,0.008529243459752525
pi+ n,0.35,0.45,0.4,1.305,1.315,1.31,0.0835622590445647,0.0089109001162799
pi+ n,0.35,0.45,0.4,1.315,1.325,1.32,0.0803628739195644,0.00794712044997835
pi+ n,0.35,0.45,0.4,1.325,1.335,1.33,0.0771634887945641,0.0069833407836768
pi+ n,0.35,0.45,0.4,1.335,1.345,1.34,0.07485513147477495,0.0068527798328526
pi+ n,0.35,0.45,0.4,1.345,1.355,1.35,0.0725467741549858,0.0067222188820284
pi+ n,0.35,0.45,0.4,1.355,1.365,1.36,0.0700356858347069,0.0060926836930789
pi+ n,0.35,0.45,0.4,1.365,1.375,1.37,0.067524597514428,0.0054631485041294
pi+ n,0.35,0.45,0.4,1.375,1.385,1.38,0.06557531111806887,0.005164548889387753
pi+ n,0.35,0.45,0.4,1.385,1.395,1.39,0.0636260247217097,0.0048659492746461
pi+ n,0.35,0.45,0.4,1.395,1.405,1.4,0.0646721152971691,0.0055090943420051
pi+ n,0.35,0.45,0.4,1.405,1.415,1.41,0.0657182058726285,0.0061522394093641
pi+ n,0.35,0.45,0.4,1.415,1.425,1.42,0.06672634801241335,0.0062092259905439
pi+ n,0.35,0.45,0.4,1.425,1.435,1.43,0.0677344901521982,0.0062662125717237
pi+ n,0.35,0.45,0.4,1.435,1.445,1.44,0.07053936926846935,0.005282050926912
pi+ n,0.35,0.45,0.4,1.445,1.455,1.45,0.0733442483847405,0.0042978892821003
pi+ n,0.35,0.45,0.4,1.455,1.465,1.46,0.08015141010925064,0.0045920949298852
pi+ n,0.35,0.45,0.4,1.465,1.475,1.47,0.0869585718337608,0.0048863005776701
pi+ n,0.35,0.45,0.4,1.475,1.485,1.48,0.09410388554834376,0.00579766043902825
pi+ n,0.35,0.45,0.4,1.485,1.495,1.49,0.10124919926292672,0.0067090203003864
pi+ n,0.35,0.45,0.4,1.495,1.505,1.5,0.09779992422055675,0.0067091075335348
pi+ n,0.35,0.45,0.4,1.505,1.515,1.51,0.09435064917818678,0.0067091947666832
pi+ n,0.35,0.45,0.4,1.515,1.525,1.52,0.08789487612111824,0.00693898667245735
pi+ n,0.35,0.45,0.4,1.525,1.535,1.53,0.0814391030640497,0.0071687785782315
pi+ n,0.35,0.45,0.4,1.535,1.545,1.54,0.058315575948815895,0.0077884604284294496
pi+ n,0.35,0.45,0.4,1.545,1.555,1.55,0.0351920488335821,0.0084081422786274
pi+ n,0.35,0.45,0.4,1.555,1.565,1.56,0.03748650980874625,0.007985381913651175
pi+ n,0.35,0.45,0.4,1.565,1.575,1.57,0.03978097078391043,0.007562621548674949
pi+ n,0.35,0.45,0.4,1.575,1.585,1.58,0.04207543175907464,0.007139861183698734
pi+ n,0.35,0.45,0.4,1.585,1.595,1.59,0.04436989273423879,0.006717100818722501
pi+ n,0.45,0.55,0.5,1.115,1.125,1.12,0.0232231667067929,0.0020562149542021997
pi+ n,0.45,0.55,0.5,1.125,1.135,1.13,0.0273952517635652,0.0020434510421061
pi+ n,0.45,0.55,0.5,1.135,1.145,1.14,0.035937949437095745,0.0028155562992346
pi+ n,0.45,0.55,0.5,1.145,1.155,1.15,0.0444806471106263,0.0035876615563631
pi+ n,0.45,0.55,0.5,1.155,1.165,1.16,0.05476321992260435,0.00407330425868005
pi+ n,0.45,0.55,0.5,1.165,1.175,1.17,0.0650457927345824,0.004558946960997
pi+ n,0.45,0.55,0.5,1.175,1.185,1.18,0.08185161924582095,0.005851324801073
pi+ n,0.45,0.55,0.5,1.185,1.195,1.19,0.0986574457570595,0.007143702641149
pi+ n,0.45,0.55,0.5,1.195,1.205,1.2,0.10657304559111615,0.0071383288950403
pi+ n,0.45,0.55,0.5,1.205,1.215,1.21,0.11448864542517279,0.0071329551489315995
pi+ n,0.45,0.55,0.5,1.215,1.225,1.22,0.12240424525922944,0.0071275814028229
pi+ n,0.45,0.55,0.5,1.225,1.235,1.23,0.1303198450932861,0.0071222076567142
pi+ n,0.45,0.55,0.5,1.235,1.245,1.24,0.1247941788006719,0.0069351968667714994
pi+ n,0.45,0.55,0.5,1.245,1.255,1.25,0.1192685125080577,0.0067481860768288
pi+ n,0.45,0.55,0.5,1.255,1.265,1.26,0.1182215426294713,0.0087443283513355
pi+ n,0.45,0.55,0.5,1.265,1.275,1.27,0.1171745727508849,0.0107404706258422
pi+ n,0.45,0.55,0.5,1.275,1.285,1.28,0.1037755693523725,0.0083228583501634
pi+ n,0.45,0.55,0.5,1.285,1.295,1.29,0.0903765659538601,0.0059052460744846
pi+ n,0.45,0.55,0.5,1.295,1.305,1.3,0.0871780429040762,0.00818332665274965
pi+ n,0.45,0.55,0.5,1.305,1.315,1.31,0.0839795198542923,0.0104614072310147
pi+ n,0.45,0.55,0.5,1.315,1.325,1.32,0.0801827043583657,0.00937142744619445
pi+ n,0.45,0.55,0.5,1.325,1.335,1.33,0.0763858888624391,0.0082814476613742
pi+ n,0.45,0.55,0.5,1.335,1.345,1.34,0.0734463136356525,0.007830831982575349
pi+ n,0.45,0.55,0.5,1.345,1.355,1.35,0.0705067384088659,0.0073802163037765
pi+ n,0.45,0.55,0.5,1.355,1.365,1.36,0.06889842507637794,0.0059458636905378
pi+ n,0.45,0.55,0.5,1.365,1.375,1.37,0.06729011174389,0.0045115110772991
pi+ n,0.45,0.55,0.5,1.375,1.385,1.38,0.06737502638823535,0.0057954847826332855
pi+ n,0.45,0.55,0.5,1.385,1.395,1.39,0.0674599410325807,0.0070794584879675
pi+ n,0.45,0.55,0.5,1.395,1.405,1.4,0.0672971005981555,0.0064288517030454
pi+ n,0.45,0.55,0.5,1.405,1.415,1.41,0.0671342601637303,0.0057782449181233
pi+ n,0.45,0.55,0.5,1.415,1.425,1.42,0.06722284752593799,0.0064974017926495
pi+ n,0.45,0.55,0.5,1.425,1.435,1.43,0.0673114348881457,0.0072165586671757
pi+ n,0.45,0.55,0.5,1.435,1.445,1.44,0.07025768122637355,0.006225121035055
pi+ n,0.45,0.55,0.5,1.445,1.455,1.45,0.0732039275646014,0.0052336834029343
pi+ n,0.45,0.55,0.5,1.455,1.465,1.46,0.0803697861354126,0.0054471165698362
pi+ n,0.45,0.55,0.5,1.465,1.475,1.47,0.0875356447062238,0.0056605497367381
pi+ n,0.45,0.55,0.5,1.475,1.485,1.48,0.0942353078351463,0.0084530840241983
pi+ n,0.45,0.55,0.5,1.485,1.495,1.49,0.1009349709640688,0.0112456183116585
pi+ n,0.45,0.55,0.5,1.495,1.505,1.5,0.087853651498834,0.016653570888952952
pi+ n,0.45,0.55,0.5,1.505,1.515,1.51,0.0747723320335992,0.0220615234662474
pi+ n,0.45,0.55,0.5,1.515,1.525,1.52,0.069144115780887,0.020114168936693037
pi+ n,0.45,0.55,0.5,1.525,1.535,1.53,0.0635158995281748,0.018166814407138677
pi+ n,0.45,0.55,0.5,1.535,1.545,1.54,0.057887683275462565,0.016219459877584302
pi+ n,0.45,0.55,0.5,1.545,1.555,1.55,0.0522594670227504,0.01427210534802996
pi+ n,0.45,0.55,0.5,1.555,1.565,1.56,0.0466312507700382,0.012324750818475597
pi+ n,0.45,0.55,0.5,1.565,1.575,1.57,0.04100303451732597,0.010377396288921226
pi+ n,0.45,0.55,0.5,1.575,1.585,1.58,0.03537481826461382,0.008430041759366881
pi+ n,0.45,0.55,0.5,1.585,1.595,1.59,0.03540565717467048,0.007571683061654049
pi+ n,0.45,0.55,0.5,1.595,1.605,1.6,0.03770011814983469,0.007148922696677835
pi+ n,0.45,0.55,0.5,1.605,1.615,1.61,0.03999457912499887,0.006726162331701609
pi+ n,0.45,0.55,0.5,1.615,1.625,1.62,0.04228904010016305,0.006303401966725389
pi+ n,0.55,0.65,0.6,1.115,1.125,1.12,0.018697675474242566,0.0017624777341510545
pi+ n,0.55,0.65,0.6,1.125,1.135,1.13,0.0248141295098222,0.0021737136694258
pi+ n,0.55,0.65,0.6,1.135,1.145,1.14,0.0324248151706201,0.0033498392820435503
pi+ n,0.55,0.65,0.6,1.145,1.155,1.15,0.040035500831418,0.0045259648946613
pi+ n,0.55,0.65,0.6,1.155,1.165,1.16,0.0499496352752627,0.00568848742066825
pi+ n,0.55,0.65,0.6,1.165,1.175,1.17,0.0598637697191074,0.0068510099466752
pi+ n,0.55,0.65,0.6,1.175,1.185,1.18,0.0748908799431144,0.0065339985512515505
pi+ n,0.55,0.65,0.6,1.185,1.195,1.19,0.0899179901671214,0.0062169871558279
pi+ n,0.55,0.65,0.6,1.195,1.205,1.2,0.1050306859710652,0.007227071958087699
pi+ n,0.55,0.65,0.6,1.205,1.215,1.21,0.120143381775009,0.0082371567603475
pi+ n,0.55,0.65,0.6,1.215,1.225,1.22,0.123812347856605,0.00819309472185915
pi+ n,0.55,0.65,0.6,1.225,1.235,1.23,0.127481313938201,0.0081490326833708
pi+ n,0.55,0.65,0.6,1.235,1.245,1.24,0.1195574333168124,0.0077823165676722
pi+ n,0.55,0.65,0.6,1.245,1.255,1.25,0.1116335526954238,0.0074156004519736
pi+ n,0.55,0.65,0.6,1.255,1.265,1.26,0.10439811746554795,0.00890120908947355
pi+ n,0.55,0.65,0.6,1.265,1.275,1.27,0.0971626822356721,0.0103868177269735
pi+ n,0.55,0.65,0.6,1.275,1.285,1.28,0.09680705743993939,0.01145319544880255
pi+ n,0.55,0.65,0.6,1.285,1.295,1.29,0.0964514326442067,0.0125195731706316
pi+ n,0.55,0.65,0.6,1.295,1.305,1.3,0.0878454735740997,0.010473659380713301
pi+ n,0.55,0.65,0.6,1.305,1.315,1.31,0.0792395145039927,0.008427745590795
pi+ n,0.55,0.65,0.6,1.315,1.325,1.32,0.07715786483449535,0.00797798155632945
pi+ n,0.55,0.65,0.6,1.325,1.335,1.33,0.075076215164998,0.0075282175218639
pi+ n,0.55,0.65,0.6,1.335,1.345,1.34,0.07432302909237545,0.007006667689841
pi+ n,0.55,0.65,0.6,1.345,1.355,1.35,0.0735698430197529,0.0064851178578181
pi+ n,0.55,0.65,0.6,1.355,1.365,1.36,0.07265393144763944,0.00739995979679275
pi+ n,0.55,0.65,0.6,1.365,1.375,1.37,0.07173801987552599,0.0083148017357674
pi+ n,0.55,0.65,0.6,1.375,1.385,1.38,0.0694933076666164,0.008685217671428746
pi+ n,0.55,0.65,0.6,1.385,1.395,1.39,0.0672485954577068,0.0090556336070901
pi+ n,0.55,0.65,0.6,1.395,1.405,1.4,0.06164793346672705,0.009317294407210651
pi+ n,0.55,0.65,0.6,1.405,1.415,1.41,0.0560472714757473,0.0095789552073312
pi+ n,0.55,0.65,0.6,1.415,1.425,1.42,0.057790245639571775,0.010523190959202986
pi+ n,0.55,0.65,0.6,1.425,1.435,1.43,0.059533219803396265,0.011467426711074771
pi+ n,0.55,0.65,0.6,1.435,1.445,1.44,0.06127619396722073,0.012411662462946558
pi+ n,0.55,0.65,0.6,1.445,1.455,1.45,0.06301916813104522,0.013355898214818345
pi+ n,0.55,0.65,0.6,1.455,1.465,1.46,0.0647621422948697,0.014300133966690132
pi+ n,0.55,0.65,0.6,1.465,1.475,1.47,0.06650511645869417,0.015244369718561919
pi+ n,0.55,0.65,0.6,1.475,1.485,1.48,0.06824809062251866,0.016188605470433704
pi+ n,0.55,0.65,0.6,1.485,1.495,1.49,0.06999106478634314,0.01713284122230549
pi+ n,0.55,0.65,0.6,1.495,1.505,1.5,0.07173403895016761,0.018077076974177278
pi+ n,0.55,0.65,0.6,1.505,1.515,1.51,0.0734770131139921,0.019021312726049063
pi+ n,0.55,0.65,0.6,1.515,1.525,1.52,0.07521998727781659,0.019965548477920852
pi+ n,0.55,0.65,0.6,1.525,1.535,1.53,0.07475285185163673,0.02041914159921399
pi+ n,0.55,0.65,0.6,1.535,1.545,1.54,0.07228280460951549,0.020428089836545236
pi+ n,0.55,0.65,0.6,1.545,1.555,1.55,0.0693268852119187,0.02013606841743252
pi+ n,0.55,0.65,0.6,1.555,1.565,1.56,0.06369866895920649,0.01818871388787816
pi+ n,0.55,0.65,0.6,1.565,1.575,1.57,0.05807045270649427,0.016241359358323788
pi+ n,0.55,0.65,0.6,1.575,1.585,1.58,0.05244223645378212,0.014294004828769444
pi+ n,0.55,0.65,0.6,1.585,1.595,1.59,0.04681402020106991,0.012346650299215079
pi+ n,0.55,0.65,0.6,1.595,1.605,1.6,0.041185803948357684,0.010399295769660711
pi+ n,0.55,0.65,0.6,1.605,1.615,1.61,0.03555758769564547,0.008451941240106346
pi+ n,0.55,0.65,0.6,1.615,1.625,1.62,0.03332480454059476,0.007157984209656945
pi+ n,0.55,0.65,0.6,1.625,1.635,1.63,0.03561926551575889,0.006735223844680731
pi+ n,0.55,0.65,0.6,1.635,1.645,1.64,0.03791372649092309,0.006312463479704511
pi+ n,0.55,0.65,0.6,1.645,1.655,1.65,0.04020818746608725,0.0058897031147282855
pi+ n,0.65,0.75,0.7,1.115,1.125,1.12,0.015711387727126193,0.0015048645823332685
pi+ n,0.65,0.75,0.7,1.125,1.135,1.13,0.021827841762705826,0.0019161005176080138
pi+ n,0.65,0.75,0.7,1.135,1.145,1.14,0.02917170034757191,0.0029556386878430855
pi+ n,0.65,0.75,0.7,1.145,1.155,1.15,0.03678238600836981,0.0041317643004608355
pi+ n,0.65,0.75,0.7,1.155,1.165,1.16,0.04735964768457471,0.005142039664879482
pi+ n,0.65,0.75,0.7,1.165,1.175,1.17,0.05727378212841941,0.006304562190886432
pi+ n,0.65,0.75,0.7,1.175,1.185,1.18,0.07009718732538053,0.006037398775007612
pi+ n,0.65,0.75,0.7,1.185,1.195,1.19,0.08512429754938754,0.005720387379583963
pi+ n,0.65,0.75,0.7,1.195,1.205,1.2,0.10023699335333133,0.006730472181843762
pi+ n,0.65,0.75,0.7,1.205,1.215,1.21,0.11323258472289535,0.007558020554207865
pi+ n,0.65,0.75,0.7,1.215,1.225,1.22,0.11686535533214926,0.0075243740108455245
pi+ n,0.65,0.75,0.7,1.225,1.235,1.23,0.12053432141374525,0.007480311972357175
pi+ n,0.65,0.75,0.7,1.235,1.245,1.24,0.11261044079235666,0.007113595856658574
pi+ n,0.65,0.75,0.7,1.245,1.255,1.25,0.10664694030120725,0.006841282549558136
pi+ n,0.65,0.75,0.7,1.255,1.265,1.26,0.10057924664658854,0.008066236084420702
pi+ n,0.65,0.75,0.7,1.265,1.275,1.27,0.09334381141671269,0.00955184472192065
pi+ n,0.65,0.75,0.7,1.275,1.285,1.28,0.09298818662097999,0.010618222443749702
pi+ n,0.65,0.75,0.7,1.285,1.295,1.29,0.09242485960744407,0.011501067962423894
pi+ n,0.65,0.75,0.7,1.295,1.305,1.3,0.08381890053733707,0.009455154172505595
pi+ n,0.65,0.75,0.7,1.305,1.315,1.31,0.07660794512471036,0.007793781111755795
pi+ n,0.65,0.75,0.7,1.315,1.325,1.32,0.07452629545521301,0.007344017077290245
pi+ n,0.65,0.75,0.7,1.325,1.335,1.33,0.07285830707316998,0.006986157382086016
pi+ n,0.65,0.75,0.7,1.335,1.345,1.34,0.0712828128759002,0.0065132445083066785
pi+ n,0.65,0.75,0.7,1.345,1.355,1.35,0.07052962680327765,0.005991694676283779
pi+ n,0.65,0.75,0.7,1.355,1.365,1.36,0.06961371523116418,0.006906536615258429
pi+ n,0.65,0.75,0.7,1.365,1.375,1.37,0.06892966128470217,0.007645669096536873
pi+ n,0.65,0.75,0.7,1.375,1.385,1.38,0.06668494907579259,0.008016085032198219
pi+ n,0.65,0.75,0.7,1.385,1.395,1.39,0.06498345396272298,0.008328774875159949
pi+ n,0.65,0.75,0.7,1.395,1.405,1.4,0.0613397222946723,0.008573971761509508
pi+ n,0.65,0.75,0.7,1.405,1.415,1.41,0.05573906030369254,0.008835632561630056
pi+ n,0.65,0.75,0.7,1.415,1.425,1.42,0.05872918411336575,0.008836911409496967
pi+ n,0.65,0.75,0.7,1.425,1.435,1.43,0.05660539465183344,0.008860574396278102
pi+ n,0.65,0.75,0.7,1.435,1.445,1.44,0.05998087504761364,0.00937145172274822
pi+ n,0.65,0.75,0.7,1.445,1.455,1.45,0.061723849211438114,0.010315687474620007
pi+ n,0.65,0.75,0.7,1.455,1.465,1.46,0.06346682337526259,0.011259923226491792
pi+ n,0.65,0.75,0.7,1.465,1.475,1.47,0.06520979753908707,0.012204158978363577
pi+ n,0.65,0.75,0.7,1.475,1.485,1.48,0.06695277170291156,0.013148394730235366
pi+ n,0.65,0.75,0.7,1.485,1.495,1.49,0.06869574586673602,0.014092630482107151
pi+ n,0.65,0.75,0.7,1.495,1.505,1.5,0.07043872003056051,0.01503686623397894
pi+ n,0.65,0.75,0.7,1.505,1.515,1.51,0.072181694194385,0.015981101985850725
pi+ n,0.65,0.75,0.7,1.515,1.525,1.52,0.07392466835820947,0.01692533773772251
pi+ n,0.65,0.75,0.7,1.525,1.535,1.53,0.07566764252203395,0.017869573489594295
pi+ n,0.65,0.75,0.7,1.535,1.545,1.54,0.07720341891179548,0.01876781149484933
pi+ n,0.65,0.75,0.7,1.545,1.555,1.55,0.07473337166967427,0.018776759732180574
pi+ n,0.65,0.75,0.7,1.555,1.565,1.56,0.07226332442755304,0.018785707969511824
pi+ n,0.65,0.75,0.7,1.565,1.575,1.57,0.06979327718543181,0.018794656206843063
pi+ n,0.65,0.75,0.7,1.575,1.585,1.58,0.06732322994331057,0.018803604444174307
pi+ n,0.65,0.75,0.7,1.585,1.595,1.59,0.06388143839023823,0.018210613368617647
pi+ n,0.65,0.75,0.7,1.595,1.605,1.6,0.058253222137526,0.016263258839063276
pi+ n,0.65,0.75,0.7,1.605,1.615,1.61,0.052625005884813794,0.014315904309508914
pi+ n,0.65,0.75,0.7,1.615,1.625,1.62,0.04699678963210164,0.012368549779954567
pi+ n,0.65,0.75,0.7,1.625,1.635,1.63,0.04136857337938952,0.010421195250400235
pi+ n,0.65,0.75,0.7,1.635,1.645,1.64,0.03574035712667736,0.008473840720845892
pi+ n,0.65,0.75,0.7,1.645,1.655,1.65,0.03124395190651892,0.006744285357659837
pi+ n,0.65,0.75,0.7,1.655,1.665,1.66,0.03353841288168311,0.006321524992683615
pi+ n,0.65,0.75,0.7,1.665,1.675,1.67,0.035832873856847275,0.0058987646277073895
pi+ n,0.65,0.75,0.7,1.675,1.685,1.68,0.03812733483201147,0.00547600426273117
pi+ n,0.75,0.85,0.8,1.115,1.125,1.12,0.012725099980009813,0.0012472514305154816
pi+ n,0.75,0.85,0.8,1.125,1.135,1.13,0.018841554015589446,0.0016584873657902268
pi+ n,0.75,0.85,0.8,1.135,1.145,1.14,0.025918585524523717,0.002561438093642621
pi+ n,0.75,0.85,0.8,1.145,1.155,1.15,0.03352927118532162,0.003737563706260371
pi+ n,0.75,0.85,0.8,1.155,1.165,1.16,0.044769660093886714,0.004595591909090713
pi+ n,0.75,0.85,0.8,1.165,1.175,1.17,0.054683794537731416,0.005758114435097664
pi+ n,0.75,0.85,0.8,1.175,1.185,1.18,0.06530349470764667,0.005540798998763675
pi+ n,0.75,0.85,0.8,1.185,1.195,1.19,0.08033060493165367,0.005223787603340025
pi+ n,0.75,0.85,0.8,1.195,1.205,1.2,0.09544330073559747,0.006233872405599824
pi+ n,0.75,0.85,0.8,1.205,1.215,1.21,0.10632178767078168,0.0068788843480682305
pi+ n,0.75,0.85,0.8,1.215,1.225,1.22,0.10991836280769349,0.0068556532998318995
pi+ n,0.75,0.85,0.8,1.225,1.235,1.23,0.1135873288892895,0.00681159126134355
pi+ n,0.75,0.85,0.8,1.235,1.245,1.24,0.10566344826790089,0.00644487514564495
pi+ n,0.75,0.85,0.8,1.245,1.255,1.25,0.10166032790699069,0.00626696464714267
pi+ n,0.75,0.85,0.8,1.255,1.265,1.26,0.09676037582762913,0.0072312630793678525
pi+ n,0.75,0.85,0.8,1.265,1.275,1.27,0.08952494059775326,0.008716871716867804
pi+ n,0.75,0.85,0.8,1.275,1.285,1.28,0.08916931580202057,0.009783249438696854
pi+ n,0.75,0.85,0.8,1.285,1.295,1.29,0.08839828657068141,0.010482562754216189
pi+ n,0.75,0.85,0.8,1.295,1.305,1.3,0.07979232750057441,0.00843664896429789
pi+ n,0.75,0.85,0.8,1.305,1.315,1.31,0.07397637574542804,0.007159816632716589
pi+ n,0.75,0.85,0.8,1.315,1.325,1.32,0.07189472607593067,0.006710052598251038
pi+ n,0.75,0.85,0.8,1.325,1.335,1.33,0.07064039898134195,0.006444097242308131
pi+ n,0.75,0.85,0.8,1.335,1.345,1.34,0.06824259665942493,0.006019821326772356
pi+ n,0.75,0.85,0.8,1.345,1.355,1.35,0.06748941058680238,0.005498271494749456
pi+ n,0.75,0.85,0.8,1.355,1.365,1.36,0.06657349901468892,0.006413113433724107
pi+ n,0.75,0.85,0.8,1.365,1.375,1.37,0.06612130269387834,0.006976536457306346
pi+ n,0.75,0.85,0.8,1.375,1.385,1.38,0.06387659048496877,0.007346952392967692
pi+ n,0.75,0.85,0.8,1.385,1.395,1.39,0.06271831246773915,0.0076019161432297954
pi+ n,0.75,0.85,0.8,1.395,1.405,1.4,0.06103151112261755,0.007830649115808365
pi+ n,0.75,0.85,0.8,1.405,1.415,1.41,0.0554308491316378,0.008092309915928913
pi+ n,0.75,0.85,0.8,1.415,1.425,1.42,0.057294243588461566,0.008053440037066548
pi+ n,0.75,0.85,0.8,1.425,1.435,1.43,0.06141109675098422,0.008094867611662738
pi+ n,0.75,0.85,0.8,1.435,1.445,1.44,0.05673948491872429,0.00808888320887179
pi+ n,0.75,0.85,0.8,1.445,1.455,1.45,0.05716351782791956,0.008142193585225006
