channel,q2_min,q2_max,q2,w_min,w_max,w,beam_energy,sigma_U,sigma_U_err,F_2,F_2_err,d2sigma_dOmega_pi_dE_f,d2sigma_dOmega_pi_dE_f_err,d2sigma_dWdQ2,d2sigma_dWdQ2_err
pi+ n,0.25,0.35,0.3,1.5,1.52,1.51,1.515,52.36278015381236,5.103173407785094,0.08853571194193698,0.00862851608517045,0.04866237715743069,0.004742539420938841,0.266570437691773,0.025979429757822862
pi+ n,0.25,0.35,0.3,1.52,1.54,1.53,1.515,43.1115060080752,3.3728146544930238,0.07511994931674221,0.005876984808946909,0.03706533227014775,0.002899794218067703,0.21728777487369919,0.016999438414397303
pi+ n,0.25,0.35,0.3,1.54,1.56,1.55,1.515,34.54372871466261,3.722730906556086,0.061939299204335545,0.006675114472530295,0.027351226110749093,0.0029476046322547073,0.17223895178790247,0.018561958798080803
pi+ n,0.25,0.35,0.3,1.56,1.58,1.57,1.515,26.45229012519784,3.640214396394582,0.04874520634347889,0.006708039305743446,0.019194087288401728,0.0026413816173268528,0.13040180691755776,0.01794515834396437
pi+ n,0.35,0.45,0.4,1.1,1.12,1.11,1.515,37.36289659770263,3.120236075487084,0.01791269305809217,0.0014959180411195131,0.03175447602813947,0.0026518677801678496,0.06990331791190266,0.005837739420834213
pi+ n,0.35,0.45,0.4,1.12,1.14,1.13,1.515,56.00978413926333,3.3992573321990984,0.031020320705526835,0.001882636296959249,0.05001791032910988,0.003035607993145535,0.11454571584256217,0.006951827621432876
pi+ n,0.35,0.45,0.4,1.14,1.16,1.15,1.515,76.8902537128946,6.178419986217229,0.04848525522955819,0.0038959719272835315,0.07118610587088067,0.005720070334218012,0.16968941264738188,0.013635180116127337
pi+ n,0.35,0.45,0.4,1.16,1.18,1.17,1.515,98.2092177427332,7.687532075447531,0.06964945353053763,0.0054519567547723245,0.09319338617946202,0.007294907361454811,0.23137839475545638,0.018111628135636437
pi+ n,0.35,0.45,0.4,1.18,1.2,1.19,1.515,135.1794135329106,10.269142049173032,0.10669146451982586,0.008105004866896068,0.13018659482986886,0.009889853789612556,0.33688544438825163,0.02559209566240267
pi+ n,0.35,0.45,0.4,1.2,1.22,1.21,1.515,166.33250354281566,9.300073479605334,0.1447694534350873,0.008094428484340383,0.16117129978066555,0.009011497445403721,0.4350229537497901,0.02432324019067377
pi+ n,0.35,0.45,0.4,1.24,1.26,1.25,1.515,119.27379815526798,7.511545710966774,0.12335506175795058,0.007768572808151583,0.11439886158184681,0.0072045352067682915,0.3368113961444613,0.021211483471166026
pi+ n,0.35,0.45,0.4,1.26,1.28,1.27,1.515,97.03771726001509,6.614826584578794,0.10832529529652316,0.007384273490170498,0.0916908942577722,0.006250346587141269,0.2823561618524236,0.019247536921508518
pi+ n,0.35,0.45,0.4,1.3,1.32,1.31,1.515,65.30637668385918,6.964131968663832,0.08356225904456478,0.008910900116279935,0.05887299997893615,0.006278090472377835,0.19901344844360022,0.02122236738395952
pi+ n,0.35,0.45,0.4,1.32,1.34,1.33,1.515,56.72794850499552,5.133912457275585,0.07716348879456415,0.006983340783676895,0.049562047695871095,0.004485394250622557,0.1758745103916502,0.01591674586535462
pi+ n,0.35,0.45,0.4,1.34,1.36,1.35,1.515,50.376039353854665,4.667867963678636,0.07254677415498585,0.006722218882028402,0.042449238814924926,0.003933366824551083,0.15836002969150664,0.014673716290632108
pi+ n,0.35,0.45,0.4,1.36,1.38,1.37,1.515,44.45261436935781,3.596485468050512,0.06752459751442805,0.005463148504129445,0.03596090615854024,0.0029094548937546897,0.14126266856788322,0.011429004612890386
pi+ n,0.35,0.45,0.4,1.38,1.4,1.39,1.515,39.84321826647361,3.047103443461896,0.06362602472170978,0.004865949274646102,0.030806088216930587,0.0023559677548534584,0.12765161327649693,0.009762456129342845
pi+ n,0.35,0.45,0.4,1.4,1.42,1.41,1.515,39.26508134381142,3.6758182553473966,0.06571820587262857,0.006152239409364174,0.02888973705977703,0.0027045257323337194,0.12652629357838227,0.011844815897475896
pi+ n,0.35,0.45,0.4,1.42,1.44,1.43,1.515,38.7190062509959,3.5819495088761215,0.06773449015219828,0.006266212571723753,0.026992563581798367,0.0024971198702353897,0.1252211508697665,0.011584384086493076
pi+ n,0.35,0.45,0.4,1.44,1.46,1.45,1.515,40.2118042535373,2.3563658544649084,0.07334424838474059,0.004297889282100362,0.02644735195269204,0.0015497846525217105,0.13027762102729917,0.007634119967711798
pi+ n,0.35,0.45,0.4,1.46,1.48,1.47,1.515,45.83004844550126,2.575242296090269,0.0869585718337608,0.004886300577670171,0.028312993936059044,0.0015909391760689656,0.14849489277179917,0.008344096102670916
pi+ n,0.35,0.45,0.4,1.48,1.5,1.49,1.515,51.40010345360111,3.4058969357048556,0.10124919926292672,0.006709020300386429,0.029692586559944233,0.0019675036193060433,0.16631976391733713,0.011020755527944888
pi+ n,0.35,0.45,0.4,1.5,1.52,1.51,1.515,46.222220339147704,3.2868229472191497,0.09435064917818688,0.006709194766683215,0.02485052081848909,0.001767099491916429,0.14917927103190134,0.01060801163767979
pi+ n,0.35,0.45,0.4,1.52,1.54,1.53,1.515,38.56503957782156,3.3947356882934647,0.08143910306404974,0.007168778578231555,0.019200033677388262,0.0016901069013436274,0.12401335592874463,0.010916430264432005
pi+ n,0.35,0.45,0.4,1.54,1.56,1.55,1.515,16.132832258420454,3.85448285854239,0.03519204883358217,0.008408142278627413,0.007397539245919792,0.0017674322624850857,0.051643634757558086,0.01233878228802221
pi+ n,0.45,0.55,0.5,1.1,1.12,1.11,1.515,35.32211038715677,3.8360394043036257,0.0190510816500205,0.0020689788662983386,0.017833488688350038,0.0019367462638808753,0.04122965923648906,0.00447760894588818
pi+ n,0.45,0.55,0.5,1.12,1.14,1.13,1.515,44.09399575115073,3.289034258416617,0.027395251763565276,0.0020434510421061805,0.023459163979257673,0.00174985262023068,0.05648383483695925,0.00421321009041592
pi+ n,0.45,0.55,0.5,1.14,1.16,1.15,1.515,63.00763523277575,5.081987007063591,0.04448064711062633,0.003587661556363179,0.03485892849496654,0.00281160562584368,0.08746628882907331,0.007054740933273394
pi+ n,0.45,0.55,0.5,1.16,1.18,1.17,1.515,82.0283960275796,5.749228213903692,0.06504579273458247,0.004558946960997011,0.04666427491429671,0.003270618211630404,0.1221046392317506,0.008558102692678315
pi+ n,0.45,0.55,0.5,1.18,1.2,1.19,1.515,111.86242673480916,8.099864203646405,0.09865744575705954,0.007143702641149006,0.06479901171346479,0.00469204191907837,0.17695965879235748,0.012813500006930129
pi+ n,0.45,0.55,0.5,1.22,1.24,1.23,1.515,122.42850688441345,6.690932209964555,0.1303198450932861,0.007122207656714221,0.07172852639073284,0.003920089526650493,0.2139263890124019,0.011691451633530596
pi+ n,0.45,0.55,0.5,1.24,1.26,1.25,1.515,103.05510026068983,5.830834795381578,0.11926851250805773,0.006748186076828828,0.06006890985610458,0.0033986856431521702,0.18750264114674733,0.010608857994012703
pi+ n,0.45,0.55,0.5,1.26,1.28,1.27,1.515,93.67293876617961,8.586260855360116,0.11717457275088497,0.010740470625842227,0.053975282869175016,0.004947489259554573,0.1765345753892974,0.016181534755371735
pi+ n,0.45,0.55,0.5,1.28,1.3,1.29,1.515,67.19995951478353,4.390876030107136,0.09037656595386014,0.005905246074484625,0.038052526527450954,0.00248636945350604,0.13056783285292803,0.008531361800163482
pi+ n,0.45,0.55,0.5,1.3,1.32,1.31,1.515,58.355443942459864,7.269392159992446,0.08397951985429232,0.0104614072310147,0.03229432972398518,0.004022934818887319,0.1164103020228951,0.014501340058384191
pi+ n,0.45,0.55,0.5,1.32,1.34,1.33,1.515,49.81672813511502,5.400927224330954,0.07638588886243915,0.008281447661374272,0.02680260099604325,0.002905829082347375,0.10165046180882958,0.011020529992657938
pi+ n,0.45,0.55,0.5,1.34,1.36,1.35,1.515,43.323859179213144,4.534877929011441,0.07050673840886591,0.007380216303776575,0.02254822240145441,0.0023602107024634205,0.09012276044793831,0.009433502116381949
pi+ n,0.45,0.55,0.5,1.36,1.38,1.37,1.515,39.093426547299224,2.6210452375082385,0.06729011174389006,0.004511511077299127,0.019587194113938933,0.0013132366840848287,0.08265766316024567,0.0055418389612790124
pi+ n,0.45,0.55,0.5,1.38,1.4,1.39,1.515,37.173538187324006,3.90110807124683,0.06745994103258074,0.007079458487967527,0.017845693803045903,0.0018727832626866093,0.07967444219343578,0.00836128667512443
pi+ n,0.45,0.55,0.5,1.4,1.42,1.41,1.515,35.18999879823911,3.0288027488317546,0.06713426016373034,0.005778244918123369,0.016110918280639822,0.0013866665314307264,0.07627220530094288,0.006564747739818494
pi+ n,0.45,0.55,0.5,1.42,1.44,1.43,1.515,33.65015135617906,3.607682585057736,0.06731143488814578,0.007216558667175793,0.014623685543022175,0.0015678269944314526,0.07359768860308706,0.007890517242059997
pi+ n,0.45,0.55,0.5,1.44,1.46,1.45,1.515,34.985385793421486,2.501265151527578,0.07320392756460141,0.005233683402934389,0.014363540155749815,0.001026915142690797,0.07706642976029607,0.005509831340728645
pi+ n,0.45,0.55,0.5,1.46,1.48,1.47,1.515,40.07989164396923,2.591792416165686,0.08753564470622385,0.005660549736738183,0.01546964785168211,0.0010003548996314812,0.08877146402026279,0.005740464801238092
pi+ n,0.45,0.55,0.5,1.48,1.5,1.49,1.515,44.36292992872289,4.942673212269194,0.10093497096406885,0.011245618311658566,0.01601507361850386,0.0017843112592851428,0.09864865233220337,0.010990889287345026
pi+ n,0.45,0.55,0.5,1.5,1.52,1.51,1.515,31.602674105250127,9.324346551821536,0.0747723320335992,0.022061523466247433,0.010612593944782813,0.0031312383067760184,0.07046248183140376,0.02078990522476981
pi+ n,0.55,0.65,0.6,1.1,1.12,1.11,1.515,21.116315612303147,2.267923542457136,0.012581221438662884,0.0013512417988763847,0.006835640767711557,0.000734157933112174,0.016639106064334393,0.0017870646121030105
pi+ n,0.55,0.65,0.6,1.12,1.14,1.13,1.515,36.24893428711261,3.1754006897895377,0.024814129509822272,0.002173713669425864,0.012387174249755483,0.001085114429728243,0.03144054674273321,0.0027541867306628515
pi+ n,0.55,0.65,0.6,1.14,1.16,1.15,1.515,51.57289253232778,5.830253057163751,0.04003550083141805,0.00452596489466133,0.018361456396378737,0.0020757404138591214,0.048630039586446926,0.0054975670947902
pi+ n,0.55,0.65,0.6,1.16,1.18,1.17,1.515,68.7524337724549,7.86825837803655,0.05986376971910742,0.0068510099466752164,0.02521926654519225,0.0028861771779437107,0.06975169706458752,0.007982617409983093
pi+ n,0.55,0.65,0.6,1.18,1.2,1.19,1.515,92.93727744477785,6.425742602764134,0.08991799016712143,0.006216987155827908,0.03478446863640482,0.0024050203338942186,0.10055715021402307,0.006952585463101578
pi+ n,0.55,0.65,0.6,1.2,1.22,1.21,1.515,112.66456133688108,7.724400956230765,0.120143381775009,0.008237156760347517,0.042659730770357104,0.0029247960604913284,0.12902376230759108,0.008846005000323
pi+ n,0.55,0.65,0.6,1.22,1.24,1.23,1.515,109.23536814057188,6.982690699196071,0.12748131393820103,0.008149032683370883,0.0415237957068558,0.002654340137385303,0.13153256413458947,0.008408002168693933
pi+ n,0.55,0.65,0.6,1.24,1.26,1.25,1.515,87.9559361283854,5.842742293501884,0.11163355269542384,0.007415600451973693,0.03333279171161616,0.0022142327222766825,0.11071316387134969,0.007354460806992426
pi+ n,0.55,0.65,0.6,1.26,1.28,1.27,1.515,70.78588778444784,7.567103924485187,0.09716268223567211,0.010386817726973526,0.02657267457163294,0.0028406536433841223,0.09266415053949847,0.00990591880887003
pi+ n,0.55,0.65,0.6,1.28,1.3,1.29,1.515,65.29805556357714,8.47580758643379,0.09645143264420676,0.012519573170631655,0.024136250937358727,0.0031329297180028907,0.08849308795910839,0.011486565408375456
pi+ n,0.55,0.65,0.6,1.3,1.32,1.31,1.515,50.07554757225342,5.325928331343358,0.07923951450399279,0.008427745590795082,0.018122734294330877,0.0019274953285396744,0.0699686903496834,0.007441720526424192
pi+ n,0.55,0.65,0.6,1.32,1.34,1.33,1.515,44.46676298094903,4.458875070860269,0.07507621516499803,0.007528217521863942,0.015671944845659713,0.0015714938416845781,0.063825178570846,0.006400027313539261
pi+ n,0.55,0.65,0.6,1.34,1.36,1.35,1.515,40.989368680015154,3.6131773005970484,0.07356984301975293,0.0064851178578181805,0.013995585614797034,0.0012336987340964465,0.06023912414982321,0.005310026550667728
pi+ n,0.55,0.65,0.6,1.36,1.38,1.37,1.515,37.72238635256519,4.372216630258636,0.07173801987552604,0.008314801735767454,0.012415028963521991,0.0014389650641962177,0.056594609868836666,0.0065596034179502705
pi+ n,0.55,0.65,0.6,1.38,1.4,1.39,1.515,33.474832417478034,4.507689943086927,0.0672485954577068,0.009055633607090188,0.010566153071898022,0.0014228283907537507,0.05113415455231488,0.00688567791315885
pi+ n,0.55,0.65,0.6,1.4,1.42,1.41,1.515,26.482708062449984,4.526119963017436,0.056047271475747305,0.009578955207331213,0.007976788255003671,0.0013633009311810943,0.04109024245850174,0.007022671784097217
pi+ n,1.8,1.8,1.8,1.605,1.605,1.605,5.499,14.793581584168768,0.6257635837336021,0.07636829684491177,0.003230353572284618,0.015285255479093119,0.0006465612260601481,0.004108107915831492,0.00017377159933508677
pi+ n,1.8,1.8,1.8,1.615,1.615,1.615,5.499,15.09514848102956,0.6022364672383508,0.07919791974199737,0.00315968242763478,0.015583720697078498,0.0006217285580749464,0.004234402059423793,0.00016893582334343843
pi+ n,1.8,1.8,1.8,1.625,1.625,1.625,5.499,15.513710560154054,0.6047798016715155,0.08269944414441856,0.0032239194636301998,0.015996964704014537,0.0006236187727962917,0.00439456893007445,0.00017131597986547956
pi+ n,1.8,1.8,1.8,1.635,1.635,1.635,5.499,15.591157220789649,0.5808067034855038,0.08442149533095801,0.0031448961556945422,0.016052593651985053,0.0005979962788759278,0.004458493225529278,0.00016608919505854092
pi+ n,1.8,1.8,1.8,1.645,1.645,1.645,5.499,15.998642953566641,0.5802853540728088,0.0879682832612114,0.0031906897695988114,0.016442003983153826,0.0005963664625007413,0.00461709472232471,0.0001674662315740098
pi+ n,1.8,1.8,1.8,1.655,1.655,1.655,5.499,15.94101853261943,0.5602034398182867,0.08898379813159954,0.003127091891864635,0.016347638749543765,0.0005744929937608126,0.0046413853208676645,0.00016310877607673895
pi+ n,1.8,1.8,1.8,1.665,1.665,1.665,5.499,15.843636090607387,0.5416298008873666,0.08976112183734362,0.003068569504509698,0.016207891947304112,0.000554082234533685,0.004652705814723535,0.00015905718293480393
pi+ n,1.8,1.8,1.8,1.675,1.675,1.675,5.499,15.062235303483694,0.522557259807259,0.0865866503044806,0.003003968654541855,0.015366033425392755,0.000533096991189803,0.004460008727136705,0.00015473200970575582
pi+ n,1.8,1.8,1.8,1.685,1.685,1.685,5.499,14.169059122345697,0.49279845236107067,0.08262719337834996,0.002873765482111192,0.014410681046210096,0.0005012020385913727,0.004229238905234055,0.00014709250410831348
pi+ n,1.8,1.8,1.8,1.695,1.695,1.695,5.499,13.35270524933741,0.4920354309904846,0.07897085536664142,0.002910006484112332,0.013534954336071433,0.0004987511493609808,0.004016499250695105,0.00014800446074302365
pi+ n,1.8,1.8,1.8,1.705,1.705,1.705,5.499,12.162300624080167,0.43192886011875736,0.07293343446478211,0.0025901394963505865,0.012283510943472868,0.000436233492663875,0.003685840226363974,0.00013089799510474263
pi+ n,1.8,1.8,1.8,1.715,1.715,1.715,5.499,10.700402808688409,0.387701533832433,0.06504662024885999,0.0023567967385883823,0.010764741425775558,0.0003900326779001209,0.003266262643340946,0.00011834461369011597
pi+ n,1.8,1.8,1.8,1.725,1.725,1.725,5.499,9.428404783448105,0.36432125145520644,0.0580870501647661,0.0022445309991908895,0.009445348215382695,0.0003649759594856882,0.0028980770140598494,0.0001119840597456529
pi+ n,1.8,1.8,1.8,1.735,1.735,1.735,5.499,8.004589555245028,0.3262145971506666,0.04996914218094661,0.0020364146686123125,0.007983195163419027,0.00032534270198819327,0.0024769919560573795,0.00010094595450696598
pi+ n,1.8,1.8,1.8,1.745,1.745,1.745,5.499,6.90021413599721,0.2997655615996269,0.04363698058455164,0.0018957185579501889,0.006849230778095129,0.00029755069484150367,0.0021491044718038657,9.336340818261468e-05
pi+ n,1.8,1.8,1.8,1.755,1.755,1.755,5.499,6.184507256642697,1.052159850970006,0.03961287620255478,0.006739272215584578,0.0061081742677024245,0.0010391734475372625,0.0019382399167996458,0.00032974950749934133
pi+ n,1.8,1.8,1.8,1.765,1.765,1.765,5.499,5.32051675273634,0.2808112172565521,0.03450931210475618,0.0018213648014244065,0.005227265728218126,0.00027588952733011537,0.0016775061511385921,8.853699107597291e-05
pi+ n,1.8,1.8,1.8,1.775,1.775,1.775,5.499,4.852575458491013,0.4447346381139112,0.03186546169953391,0.0029204439371421586,0.004741291207024158,0.00043453552596671343,0.001538839010170959,0.00014103335767946373
pi+ n,1.8,1.8,1.8,1.78,1.78,1.78,5.499,4.522280532372766,0.2263614820244438,0.029878350684694882,0.0014955524525775037,0.004405980483309029,0.00022054011572990962,0.0014381291801831427,7.198515223425352e-05
pi+ n,1.8,1.8,1.8,1.83,1.83,1.83,5.499,3.5957468480297194,0.16461393854070616,0.025188616671152766,0.0011531394093837713,0.0033933091659783623,0.00015534630498363722,0.001172671151432813,5.368509659021044e-05
pi+ n,1.8,1.8,1.8,1.89,1.89,1.89,5.499,3.233690357110226,0.15198754469178377,0.024166629017078087,0.0011358621890641685,0.0029146615785198143,0.00013699278780748305,0.0010801285085274164,5.076740869814969e-05
pi+ n,1.8,1.8,1.8,1.95,1.95,1.95,5.499,2.3669566080457907,0.1143360665341806,0.018773025233323578,0.0009068327889193022,0.002021828235025566,9.76646072913965e-05,0.0008048668704524604,3.8879171565036956e-05
pi+ n,1.8,1.8,1.8,2.01,2.01,2.01,5.499,1.8185193209273658,0.11042863357818743,0.015237955857177856,0.0009253168907629648,0.0014612755631158464,8.873519343956672e-05,0.0006261994610284691,3.80256343900199e-05
pi+ n,2.2,2.2,2.2,1.605,1.605,1.605,5.499,8.759437090611343,0.45929973204865926,0.04984948845639464,0.002613850234203444,0.005477516077847714,0.00028721271022589113,0.0015638265813789462,8.199900545752893e-05
pi+ n,2.2,2.2,2.2,1.615,1.615,1.615,5.499,9.305165926925236,0.48458953897566254,0.05383357309331166,0.0028035165166926455,0.005819537903463594,0.00030306683532968184,0.0016802483347979449,8.750308939342172e-05
pi+ n,2.2,2.2,2.2,1.625,1.625,1.625,5.499,9.74496811385168,0.49498882877987915,0.057297180667500336,0.00291037015407794,0.006093326649734848,0.00030950625866474574,0.0017792112151753298,9.037378729847593e-05
pi+ n,2.2,2.2,2.2,1.635,1.635,1.635,5.499,10.161479408294856,0.46125252783265586,0.06070380067658581,0.0027554827782525996,0.006350330376786216,0.0002882558553899252,0.0018752794736821446,8.512317575750803e-05
pi+ n,2.2,2.2,2.2,1.645,1.645,1.645,5.499,10.47570014994353,0.46740913328979916,0.06356726956745319,0.002836270793249317,0.006541032030373804,0.00029185047952659434,0.001953537157421087,8.716373097071994e-05
pi+ n,2.2,2.2,2.2,1.655,1.655,1.655,5.499,10.62612864757012,0.4628785644208084,0.06547952807363593,0.002852315359517824,0.006627096859714201,0.0002886790836476097,0.0020017694659801456,8.719790691845034e-05
pi+ n,2.2,2.2,2.2,1.66,1.66,1.66,5.499,2.7608127744187883,0.14329481757256657,0.017142196511135167,0.0008897336120060965,0.0017205863751670143,8.930381409123454e-05,0.0005226713182559359,2.7128276098209696e-05
pi+ n,2.2,2.2,2.2,1.665,1.665,1.665,5.499,10.509601144266439,0.4582389487617783,0.06574881981864947,0.002866775785536099,0.0065446027665144015,0.00028535734616599596,0.001999399297072738,8.71776787214697e-05
pi+ n,2.2,2.2,2.2,1.675,1.675,1.675,5.499,10.241578377593362,0.4334185482112244,0.06503302118280914,0.0027521653975240493,0.006366181433853408,0.0002694136599829817,0.001967122736404128,8.324766448410615e-05
pi+ n,2.2,2.2,2.2,1.685,1.685,1.685,5.499,9.794617956909098,0.39950403656794226,0.06311267358375004,0.002574247200475783,0.006075517925534196,0.0002478089442763478,0.0018988174089781856,7.744918923123105e-05
pi+ n,2.2,2.2,2.2,1.695,1.695,1.695,5.499,9.273978089051958,0.39237849052065227,0.060625663281407546,0.0025650487866964327,0.005738738810807814,0.00024280385940692267,0.0018141600982578216,7.675642470597755e-05
pi+ n,2.2,2.2,2.2,1.705,1.705,1.705,5.499,8.453706770070166,0.3529704645743573,0.0560532507060545,0.002340410246149898,0.005217052932263023,0.00021782936731724466,0.0016682303094959312,6.96541816951282e-05
pi+ n,2.2,2.2,2.2,1.715,1.715,1.715,5.499,7.438957899865313,0.33017604491549957,0.050018788134814675,0.002220069781295367,0.004577127480715957,0.0002031545102149592,0.001480499649800823,6.571155872234046e-05
pi+ n,2.2,2.2,2.2,1.725,1.725,1.725,5.499,6.327772779530928,0.28921718559774134,0.043136607483336434,0.001971601801651584,0.0038807155196579264,0.00017737198534239118,0.0012697702212304699,5.8036118320816345e-05
pi+ n,2.2,2.2,2.2,1.735,1.735,1.735,5.499,5.174611936763104,0.2423388469298401,0.035756568184486366,0.0016745614183035747,0.003162261967131356,0.00014809592065450066,0.001046702532837641,4.901946039360159e-05
pi+ n,2.2,2.2,2.2,1.74,1.74,1.74,5.499,1.6263475388919981,0.0835849678680465,0.011313562848343525,0.0005814524660554218,0.000992014961621369,5.098389901843106e-05,0.0003302593798496555,1.697344447771663e-05
pi+ n,2.2,2.2,2.2,1.745,1.745,1.745,5.499,4.368121613581235,0.2210759565592053,0.030589106934787134,0.001548151968771673,0.0026592235889828053,0.00013458654557861328,0.0008904448755498705,4.506649998328146e-05
pi+ n,2.2,2.2,2.2,1.755,1.755,1.755,5.499,3.976431754629128,0.337178713494896,0.028214534589006413,0.002392431471633721,0.0024108847880762473,0.00020442926759188932,0.0008167152033410377,6.925278705806365e-05
pi+ n,2.2,2.2,2.2,1.765,1.765,1.765,5.499,3.550979262315077,0.27102688922520635,0.02552408070622127,0.00194811393790856,0.0021435729056790507,0.00016360723438155658,0.0007346665821470315,5.607309524168015e-05
pi+ n,2.2,2.2,2.2,1.775,1.775,1.775,5.499,3.135369181704923,0.20009728935781249,0.022826043291612516,0.0014567437276818893,0.0018839615751044087,0.00012023324290879156,0.0006532784936833521,4.1691822623169444e-05
pi+ n,2.2,2.2,2.2,1.78,1.78,1.78,5.499,2.8500079082978997,0.1695057075149882,0.02087986252215181,0.0012418407188725192,0.0017083772828697889,0.00010160663035083342,0.0005958728751546542,3.5439850183574424e-05
pi+ n,2.2,2.2,2.2,1.83,1.83,1.83,5.499,2.3681500959083777,0.1298677275076837,0.018434417239328083,0.0010109308016144555,0.001380970541635264,7.573147762343756e-05,0.0005110241067177411,2.8024211622287607e-05
pi+ n,2.2,2.2,2.2,1.89,1.89,1.89,5.499,2.1372919753080755,0.11826229537060745,0.017798023471160218,0.0009848140231078896,0.001196265380162973,6.619268278030809e-05,0.00047599033434676905,2.6337865937085057e-05
pi+ n,2.2,2.2,2.2,1.95,1.95,1.95,5.499,1.8108913091925418,0.1022860255091,0.016050077505301966,0.0009065693941964777,0.0009648947078557907,5.450092128684422e-05,0.00041367820753965333,2.3366117819532145e-05
pi+ n,2.2,2.2,2.2,2.01,2.01,2.01,5.499,1.4480061125477746,0.1124571375830712,0.013599319583163415,0.001056169956844367,0.0007287388223634439,5.6596364682781835e-05,0.000337473654260338,2.620936530512366e-05
pi+ n,2.6,2.6,2.6,1.605,1.605,1.605,5.499,6.8502113652260075,0.4179050700218545,0.04217173612531056,0.0025727355549721234,0.002742546522573561,0.00016731222373260064,0.0008349916075394926,5.0939629102224024e-05
